YEAR,STATE/REGION,GDP_EXP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2012,NE,7454953988,31000,..0,All industry total,False,102949700000.0,1,1853691
2012,NH,3487646930,33000,..0,All industry total,False,68412000000.0,1,1324677
2012,NJ,37285604108,34000,..0,All industry total,False,516098200000.0,1,8845671
2012,NM,2957808347,35000,..0,All industry total,False,87681000000.0,1,2087715
2012,NV,10261239230,32000,..0,All industry total,False,130238200000.0,1,2744670
2012,NY,81337507054,36000,..0,All industry total,False,1324471300000.0,1,19574362
2012,OH,48818903140,39000,..0,All industry total,False,543035400000.0,1,11550971
2012,OK,6578543474,40000,..0,All industry total,False,175361200000.0,1,3819320
2012,OR,18387857493,41000,..0,All industry total,False,173856800000.0,1,3900102
2012,PA,38851915248,42000,..0,All industry total,False,646434300000.0,1,12769123
2012,RI,2365686090,44000,..0,All industry total,False,51527500000.0,1,1054893
2012,SC,25115454630,45000,..0,All industry total,False,178503900000.0,1,4719027
2012,SD,1557347169,46000,..0,All industry total,False,44127300000.0,1,833859
2012,TN,31142980349,47000,..0,All industry total,False,285897500000.0,1,6455752
2012,TX,264664928203,48000,..0,All industry total,False,1429588000000.0,1,26084120
2012,USA,1545820839892,0,..0,All industry total,False,16253970000000.0,1,313877662
2012,UT,19259911881,49000,..0,All industry total,False,129431400000.0,1,2854146
2012,VA,18276950734,51000,..0,All industry total,False,445008500000.0,1,8187456
2012,VT,4139192306,50000,..0,All industry total,False,29325600000.0,1,626361
2012,WA,75654307226,53000,..0,All industry total,False,398358500000.0,1,6898599
2012,WI,23118995133,55000,..0,All industry total,False,276253400000.0,1,5720825
2012,WV,11407152053,54000,..0,All industry total,False,70303100000.0,1,1857446
2012,WY,1439194146,56000,..0,All industry total,False,38679300000.0,1,576656
2013,AK,4527821865,2000,..0,All industry total,False,57533000000.0,1,737626
2013,AL,19301321716,1000,..0,All industry total,False,193981500000.0,1,4831586
2013,AR,7160838005,5000,..0,All industry total,False,114021100000.0,1,2960459
2013,AZ,19478291051,4000,..0,All industry total,False,278679500000.0,1,6634690
2013,CA,168191551560,6000,..0,All industry total,False,2223300900000.0,1,38253768
2013,CO,8545014991,8000,..0,All industry total,False,291265300000.0,1,5270774
2013,CT,16426678593,9000,..0,All industry total,False,240549200000.0,1,3595792
2013,DE,5327267160,10000,..0,All industry total,False,62058200000.0,1,924062
2013,FL,60482238924,12000,..0,All industry total,False,819679800000.0,1,19551678
2013,GA,37578244152,13000,..0,All industry total,False,467559500000.0,1,9975592
