YEAR,STATE/REGION,GDP_IMP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2011,MO,15698844241,29000,..0,All industry total,False,263330000000.0,1,6011182
2011,MS,20469540365,28000,..0,All industry total,False,96799100000.0,1,2979147
2011,MT,5615202766,30000,..0,All industry total,False,40592300000.0,1,997518
2011,NC,47868210608,37000,..0,All industry total,False,430040100000.0,1,9658913
2011,ND,3472784061,38000,..0,All industry total,False,41602100000.0,1,685526
2011,NE,3414869609,31000,..0,All industry total,False,100526500000.0,1,1840914
2011,NH,11681904299,33000,..0,All industry total,False,66557300000.0,1,1320444
2011,NJ,125476341308,34000,..0,All industry total,False,494292800000.0,1,8828552
2011,NM,2530897039,35000,..0,All industry total,False,87056000000.0,1,2080707
2011,NV,7450671740,32000,..0,All industry total,False,128638400000.0,1,2713114
2011,NY,127252335095,36000,..0,All industry total,False,1245769400000.0,1,19499921
2011,OH,59782782547,39000,..0,All industry total,False,525456400000.0,1,11545735
2011,OK,11325013173,40000,..0,All industry total,False,167207900000.0,1,3788824
2011,OR,16464403081,41000,..0,All industry total,False,169693800000.0,1,3872672
2011,PA,89444597515,42000,..0,All industry total,False,623767900000.0,1,12747052
2011,RI,8579471206,44000,..0,All industry total,False,50123700000.0,1,1053829
2011,SC,33842019108,45000,..0,All industry total,False,172844700000.0,1,4672655
2011,SD,845251861,46000,..0,All industry total,False,42082700000.0,1,823740
2011,TN,55215395051,47000,..0,All industry total,False,270055000000.0,1,6400298
2011,TX,318790623276,48000,..0,All industry total,False,1351776900000.0,1,25645504
2011,USA,2207954346316,0,..0,All industry total,False,15599732000000.0,1,311583481
2011,UT,11114063655,49000,..0,All industry total,False,125137800000.0,1,2814797
2011,VA,21474398563,51000,..0,All industry total,False,433683700000.0,1,8102437
2011,VT,4136933427,50000,..0,All industry total,False,28558500000.0,1,627197
2011,WA,46684716138,53000,..0,All industry total,False,377518800000.0,1,6827479
2011,WI,21922514015,55000,..0,All industry total,False,265444000000.0,1,5705840
2011,WV,3478678637,54000,..0,All industry total,False,69367600000.0,1,1856606
2011,WY,1937329530,56000,..0,All industry total,False,39615100000.0,1,567491
2012,AK,2105287597,2000,..0,All industry total,False,58320700000.0,1,730810
2012,AL,18337957524,1000,..0,All industry total,False,188280700000.0,1,4816632
2012,AR,7413217218,5000,..0,All industry total,False,108836000000.0,1,2952876
2012,AZ,18948129296,4000,..0,All industry total,False,272703300000.0,1,6556344
2012,CA,376487234143,6000,..0,All industry total,False,2108873100000.0,1,37944551
2012,CO,12649122371,8000,..0,All industry total,False,274738800000.0,1,5193660
2012,CT,21503350758,9000,..0,All industry total,False,239907500000.0,1,3595211
2012,DE,13556287080,10000,..0,All industry total,False,62342100000.0,1,915518
2012,FL,71222393305,12000,..0,All industry total,False,784545900000.0,1,19302016
2012,GA,72449106626,13000,..0,All industry total,False,449375600000.0,1,9903580
2012,HI,6661883008,15000,..0,All industry total,False,71645600000.0,1,1395199
2012,IA,9432393394,19000,..0,All industry total,False,158553100000.0,1,3076844
2012,ID,5148126369,16000,..0,All industry total,False,57933700000.0,1,1595910
2012,IL,126405072973,17000,..0,All industry total,False,725478000000.0,1,12883029
2012,IN,43277846831,18000,..0,All industry total,False,301277400000.0,1,6538989
2012,KS,10872675723,20000,..0,All industry total,False,141812100000.0,1,2886024
2012,KY,34724857475,21000,..0,All industry total,False,178370600000.0,1,4387865
2012,LA,80813125672,22000,..0,All industry total,False,235960900000.0,1,4602067
2012,MA,32957595940,25000,..0,All industry total,False,441373900000.0,1,6664269
2012,MD,25081883073,24000,..0,All industry total,False,331869000000.0,1,5888375
2012,ME,3775864119,23000,..0,All industry total,False,54018500000.0,1,1328094
2012,MI,116220311134,26000,..0,All industry total,False,426141100000.0,1,9898289
2012,MN,32871466095,27000,..0,All industry total,False,298641400000.0,1,5377500
2012,MO,16501631083,29000,..0,All industry total,False,272482400000.00003,1,6026027
2012,MS,20666152558,28000,..0,All industry total,False,100905400000.0,1,2984599
2012,MT,5592916500,30000,..0,All industry total,False,42150200000.0,1,1004168
2012,NC,49579760387,37000,..0,All industry total,False,444063200000.0,1,9751810
2012,ND,3906721030,38000,..0,All industry total,False,52079100000.0,1,702227
2012,NE,3575941920,31000,..0,All industry total,False,102949700000.0,1,1853691
2012,NH,12225388751,33000,..0,All industry total,False,68412000000.0,1,1324677
2012,NJ,120863295690,34000,..0,All industry total,False,516098200000.0,1,8845671
2012,NM,2325753564,35000,..0,All industry total,False,87681000000.0,1,2087715
2012,NV,8331002530,32000,..0,All industry total,False,130238200000.0,1,2744670
2012,NY,124434442586,36000,..0,All industry total,False,1324471300000.0,1,19574362
2012,OH,64143181153,39000,..0,All industry total,False,543035400000.0,1,11550971
2012,OK,11419204829,40000,..0,All industry total,False,175361200000.0,1,3819320
2012,OR,16570698537,41000,..0,All industry total,False,173856800000.0,1,3900102
2012,PA,80771587834,42000,..0,All industry total,False,646434300000.0,1,12769123
2012,RI,9459793267,44000,..0,All industry total,False,51527500000.0,1,1054893
2012,SC,35600518307,45000,..0,All industry total,False,178503900000.0,1,4719027
2012,SD,953735419,46000,..0,All industry total,False,44127300000.0,1,833859
2012,TN,61484288586,47000,..0,All industry total,False,285897500000.0,1,6455752
2012,TX,330294880853,48000,..0,All industry total,False,1429588000000.0,1,26084120
2012,USA,2276267147199,0,..0,All industry total,False,16253970000000.0,1,313877662
2012,UT,11150304251,49000,..0,All industry total,False,129431400000.0,1,2854146
2012,VA,21866535223,51000,..0,All industry total,False,445008500000.0,1,8187456
2012,VT,4350811888,50000,..0,All industry total,False,29325600000.0,1,626361
2012,WA,47627199440,53000,..0,All industry total,False,398358500000.0,1,6898599
2012,WI,23197698390,55000,..0,All industry total,False,276253400000.0,1,5720825
2012,WV,3808933458,54000,..0,All industry total,False,70303100000.0,1,1857446
2012,WY,2005071628,56000,..0,All industry total,False,38679300000.0,1,576656
2013,AK,1480639894,2000,..0,All industry total,False,57533000000.0,1,737626
2013,AL,18940757351,1000,..0,All industry total,False,193981500000.0,1,4831586
2013,AR,7621331792,5000,..0,All industry total,False,114021100000.0,1,2960459
2013,AZ,19023999012,4000,..0,All industry total,False,278679500000.0,1,6634690
2013,CA,381068945314,6000,..0,All industry total,False,2223300900000.0,1,38253768
2013,CO,12820798461,8000,..0,All industry total,False,291265300000.0,1,5270774
2013,CT,21563731012,9000,..0,All industry total,False,240549200000.0,1,3595792
2013,DE,10132236064,10000,..0,All industry total,False,62058200000.0,1,924062
2013,FL,72258291850,12000,..0,All industry total,False,819679800000.0,1,19551678
2013,GA,75023079958,13000,..0,All industry total,False,467559500000.0,1,9975592
2013,HI,6097336078,15000,..0,All industry total,False,74598500000.0,1,1408822
2013,IA,9570131967,19000,..0,All industry total,False,162415000000.0,1,3093935
2013,ID,5544759634,16000,..0,All industry total,False,61712600000.0,1,1612053
